epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7154814600944519,0.0005000000237487257,1.0006591081619263,0.9643333554267883,0.19341853260993958
1,0.9340925812721252,0.0005000000237487257,0.2983454465866089,0.9798333048820496,0.1447741687297821
2,0.9580000042915344,0.0005000000237487257,0.2172498255968094,0.9816666841506958,0.13454042375087738
3,0.9663703441619873,0.0005000000237487257,0.18393686413764954,0.981166660785675,0.13252882659435272
4,0.9726296067237854,0.0005000000237487257,0.1601213812828064,0.9860000014305115,0.10827567428350449
5,0.9763888716697693,0.0005000000237487257,0.14042386412620544,0.9896666407585144,0.09254539012908936
6,0.9789444208145142,0.0005000000237487257,0.12899479269981384,0.9854999780654907,0.11343542486429214
7,0.9808333516120911,0.0005000000237487257,0.1184065192937851,0.9894999861717224,0.086878202855587
8,0.9818518757820129,0.0005000000237487257,0.10998701304197311,0.9925000071525574,0.0684601217508316
9,0.9837037324905396,0.0005000000237487257,0.10139680653810501,0.9903333187103271,0.07614108920097351
10,0.9842963218688965,0.0005000000237487257,0.0937640368938446,0.9891666769981384,0.07391946017742157
11,0.9851666688919067,0.0005000000237487257,0.08972117304801941,0.9909999966621399,0.06427842378616333
12,0.9868333339691162,0.0005000000237487257,0.08234711736440659,0.9865000247955322,0.08580715209245682
13,0.9865000247955322,0.0005000000237487257,0.08009098470211029,0.9894999861717224,0.06771450489759445
14,0.9866111278533936,0.0005000000237487257,0.07690048217773438,0.9911666512489319,0.0621158666908741
15,0.9874259233474731,0.0005000000237487257,0.07442924380302429,0.9916666746139526,0.05937885865569115
16,0.9890000224113464,0.0005000000237487257,0.06762909889221191,0.9931666851043701,0.05095797777175903
17,0.9879259467124939,0.0005000000237487257,0.06927758455276489,0.9898333549499512,0.059471920132637024
18,0.9894444346427917,0.0005000000237487257,0.06396427005529404,0.9904999732971191,0.05499817058444023
19,0.9893518686294556,0.0005000000237487257,0.062121689319610596,0.9904999732971191,0.05884425342082977
20,0.9915555715560913,0.0001500000071246177,0.05335265025496483,0.9950000047683716,0.04207288846373558
21,0.9932036995887756,0.0001500000071246177,0.04743313416838646,0.9951666593551636,0.040865208953619
22,0.9931851625442505,0.0001500000071246177,0.046087007969617844,0.9955000281333923,0.03801535815000534
23,0.9936666488647461,0.0001500000071246177,0.04419425502419472,0.9941666722297668,0.041149791330099106
24,0.9939629435539246,0.0001500000071246177,0.040799256414175034,0.9925000071525574,0.042647406458854675
25,0.9935185313224792,0.0001500000071246177,0.0400899238884449,0.9946666955947876,0.03444697707891464
26,0.9937407374382019,0.0001500000071246177,0.038981109857559204,0.9944999814033508,0.035411398857831955
27,0.9938518404960632,0.0001500000071246177,0.03855696693062782,0.9950000047683716,0.03549009561538696
28,0.993925929069519,0.0001500000071246177,0.03640094771981239,0.9953333139419556,0.034361597150564194
29,0.9942777752876282,4.5000000682193786e-05,0.03424941748380661,0.9953333139419556,0.03244661167263985
