epoch,accuracy,loss,val_accuracy,val_loss
0,0.8995370268821716,0.3560113310813904,0.9458333253860474,0.18841804563999176
1,0.956944465637207,0.1456247717142105,0.9576666951179504,0.14184848964214325
2,0.9699814915657043,0.10135500133037567,0.9628333449363708,0.12663361430168152
3,0.9774629473686218,0.07639311254024506,0.965666651725769,0.11386080831289291
4,0.983129620552063,0.05947768688201904,0.968500018119812,0.10403943806886673
5,0.9871481657028198,0.04717974737286568,0.968833327293396,0.10643377900123596
6,0.9898889064788818,0.037883758544921875,0.9691666960716248,0.11088784039020538
7,0.9918888807296753,0.03036380745470524,0.968999981880188,0.11186394095420837
8,0.9935926198959351,0.024689756333827972,0.9721666574478149,0.10398365557193756
9,0.9947407245635986,0.02077188901603222,0.9711666703224182,0.10273826122283936
10,0.99529629945755,0.017912274226546288,0.968999981880188,0.11858836561441422
11,0.9957036972045898,0.015474097803235054,0.9721666574478149,0.10955769568681717
12,0.9965370297431946,0.013332678936421871,0.9721666574478149,0.11266983300447464
13,0.9965925812721252,0.012311357073485851,0.9733333587646484,0.1164669394493103
14,0.9962407350540161,0.012189566157758236,0.9725000262260437,0.11846857517957687
